County,Registration,Charging Point Quantity
Carlow,39,7
Cavan,35,5
Clare,57,10
Cork,402,32
Donegal,28,19
Dublin,1574,75
Galway,117,17
Kerry,47,15
Kildare,181,14
Kilkenny,58,8
Laois,33,9
Leitrim,10,2
Limerick,84,14
Longford,18,6
Louth,78,14
Mayo,35,12
Meath,131,14
Monaghen,18,6
Offaly,28,7
Roscommon,16,11
Sligo,23,8
Tipperary,55,13
Waterford,71,13
Westmeath,70,12
Wexford,89,17
Wicklow,146,15
