County,Registration
Carlow,39
Cavan,35
Clare,57
Cork,402
Donegal,28
Dublin,1574
Galway,117
Kerry,47
Kildare,181
Kilkenny,58
Laois,33
Leitrim,10
Limerick,84
Longford,18
Louth,78
Mayo,35
Meath,131
Monaghen,18
Offaly,28
Roscommon,16
Sligo,23
Tipperary,55
Waterford,71
Westmeath,70
Wexford,89
Wicklow,146
